UID,Vendor_Name,Part_Type,Batch_Code,Manufacturing_Date,Last_Inspection_Date,Warranty_End_Date,Status,AI_Analysis
SI25CB36000431,Wright Ltd,Elastic Rail Clip,B360,06-04-2025,23-04-2025,05-04-2030,OK,Performance nominal.
TS25CB75800432,"Cortez, Marsh and Nelson",Elastic Rail Clip,B758,16-08-2025,30-08-2025,15-08-2030,OK,Performance nominal.
PP25PB84300433,"Wright, West and James",Rail Pad,B843,23-03-2025,31-03-2025,22-03-2030,OK,Performance nominal.
SI25CB39900434,Wright Ltd,Elastic Rail Clip,B399,11-01-2025,17-01-2025,10-01-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB39400435,"Wright, West and James",GFN Liner,B394,04-05-2025,23-05-2025,03-05-2030,OK,Performance nominal.
TS25LB33800436,"Cortez, Marsh and Nelson",GFN Liner,B338,27-08-2025,11-09-2025,26-08-2030,OK,Performance nominal.
SI25LB25600437,Wright Ltd,GFN Liner,B256,08-07-2025,27-07-2025,07-07-2030,OK,Performance nominal.
PP25LB51000438,"Wright, West and James",GFN Liner,B510,17-06-2025,01-07-2025,16-06-2030,OK,Performance nominal.
SI25CB70600439,Wright Ltd,Elastic Rail Clip,B706,09-05-2025,15-05-2025,08-05-2030,OK,Performance nominal.
TS25LB83100440,"Cortez, Marsh and Nelson",GFN Liner,B831,10-04-2025,24-04-2025,09-04-2030,OK,Performance nominal.
SI25CB18300441,Wright Ltd,Elastic Rail Clip,B183,25-03-2025,10-04-2025,24-03-2030,OK,Performance nominal.
RC25LB38200442,Kent-Young,GFN Liner,B382,04-04-2025,24-04-2025,03-04-2030,OK,Performance nominal.
PP25PB72600443,"Wright, West and James",Rail Pad,B726,21-05-2025,03-06-2025,20-05-2030,OK,Performance nominal.
SI25PB41800444,Wright Ltd,Rail Pad,B418,28-05-2025,09-06-2025,27-05-2030,OK,Performance nominal.
TS25LB24100445,"Cortez, Marsh and Nelson",GFN Liner,B241,15-07-2025,03-08-2025,14-07-2030,OK,Performance nominal.
RC25PB79500446,Kent-Young,Rail Pad,B795,02-04-2025,21-04-2025,01-04-2030,OK,Performance nominal.
PP25LB16800447,"Wright, West and James",GFN Liner,B168,23-07-2025,28-07-2025,22-07-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB53000448,"Wright, West and James",GFN Liner,B530,18-01-2025,02-02-2025,17-01-2030,OK,Performance nominal.
SI25LB69200449,Wright Ltd,GFN Liner,B692,28-08-2025,02-09-2025,27-08-2030,OK,Performance nominal.
RC25LB61400450,Kent-Young,GFN Liner,B614,22-05-2025,31-05-2025,21-05-2030,OK,Performance nominal.
RC25PB94900451,Kent-Young,Rail Pad,B949,13-06-2025,26-06-2025,12-06-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB66400452,Wright Ltd,Rail Pad,B664,21-03-2025,27-03-2025,20-03-2030,OK,Performance nominal.
PP25PB73300453,"Wright, West and James",Rail Pad,B733,10-06-2025,21-06-2025,09-06-2030,OK,Performance nominal.
RC25LB23900454,Kent-Young,GFN Liner,B239,06-01-2025,17-01-2025,05-01-2030,OK,Performance nominal.
RC25CB67500455,Kent-Young,Elastic Rail Clip,B675,03-07-2025,14-07-2025,02-07-2030,OK,Performance nominal.
SI25CB28500456,Wright Ltd,Elastic Rail Clip,B285,19-07-2025,28-07-2025,18-07-2030,OK,Performance nominal.
PP25PB16700457,"Wright, West and James",Rail Pad,B167,01-02-2025,20-02-2025,31-01-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB79500458,Wright Ltd,GFN Liner,B795,21-07-2025,10-08-2025,20-07-2030,OK,Performance nominal.
RC25PB42300459,Kent-Young,Rail Pad,B423,06-04-2025,11-04-2025,05-04-2030,OK,Performance nominal.
TS25LB63200460,"Cortez, Marsh and Nelson",GFN Liner,B632,03-08-2025,23-08-2025,02-08-2030,OK,Performance nominal.
PP25CB97900461,"Wright, West and James",Elastic Rail Clip,B979,12-04-2025,01-05-2025,11-04-2030,OK,Performance nominal.
SI25LB51900462,Wright Ltd,GFN Liner,B519,18-07-2025,25-07-2025,17-07-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB53900463,Kent-Young,Rail Pad,B539,06-02-2025,15-02-2025,05-02-2030,OK,Performance nominal.
PP25CB33900464,"Wright, West and James",Elastic Rail Clip,B339,09-02-2025,14-02-2025,08-02-2030,OK,Performance nominal.
PP25PB76600465,"Wright, West and James",Rail Pad,B766,09-04-2025,15-04-2025,08-04-2030,OK,Performance nominal.
RC25LB64300466,Kent-Young,GFN Liner,B643,08-03-2025,22-03-2025,07-03-2030,OK,Performance nominal.
RC25PB32100467,Kent-Young,Rail Pad,B321,08-07-2025,18-07-2025,07-07-2030,FLAGGED,High failure rate predicted for this batch.
PP25CB93400468,"Wright, West and James",Elastic Rail Clip,B934,06-08-2025,17-08-2025,05-08-2030,OK,Performance nominal.
SI25LB12100469,Wright Ltd,GFN Liner,B121,28-01-2025,04-02-2025,27-01-2030,OK,Performance nominal.
PP25LB77800470,"Wright, West and James",GFN Liner,B778,05-07-2025,23-07-2025,04-07-2030,OK,Performance nominal.
RC25PB10700471,Kent-Young,Rail Pad,B107,21-01-2025,01-02-2025,20-01-2030,OK,Performance nominal.
PP25CB77600472,"Wright, West and James",Elastic Rail Clip,B776,01-02-2025,20-02-2025,31-01-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB39500473,Kent-Young,Rail Pad,B395,02-02-2025,07-02-2025,01-02-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB71600474,Wright Ltd,Rail Pad,B716,24-08-2025,03-09-2025,23-08-2030,OK,Performance nominal.
PP25LB48400475,"Wright, West and James",GFN Liner,B484,16-02-2025,05-03-2025,15-02-2030,FLAGGED,High failure rate predicted for this batch.
TS25CB78100476,"Cortez, Marsh and Nelson",Elastic Rail Clip,B781,20-06-2025,27-06-2025,19-06-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB86500477,"Cortez, Marsh and Nelson",GFN Liner,B865,06-05-2025,26-05-2025,05-05-2030,OK,Performance nominal.
RC25CB21600478,Kent-Young,Elastic Rail Clip,B216,16-06-2025,28-06-2025,15-06-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB32900479,"Wright, West and James",GFN Liner,B329,20-03-2025,09-04-2025,19-03-2030,OK,Performance nominal.
PP25LB16100480,"Wright, West and James",GFN Liner,B161,18-04-2025,24-04-2025,17-04-2030,OK,Performance nominal.
RC25PB85000481,Kent-Young,Rail Pad,B850,19-07-2025,02-08-2025,18-07-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB40400482,Kent-Young,Elastic Rail Clip,B404,15-07-2025,31-07-2025,14-07-2030,OK,Performance nominal.
SI25LB93000483,Wright Ltd,GFN Liner,B930,06-05-2025,18-05-2025,05-05-2030,OK,Performance nominal.
TS25CB33300484,"Cortez, Marsh and Nelson",Elastic Rail Clip,B333,13-04-2025,03-05-2025,12-04-2030,OK,Performance nominal.
PP25LB90500485,"Wright, West and James",GFN Liner,B905,10-01-2025,17-01-2025,09-01-2030,OK,Performance nominal.
TS25PB90300486,"Cortez, Marsh and Nelson",Rail Pad,B903,09-02-2025,21-02-2025,08-02-2030,OK,Performance nominal.
RC25CB43700487,Kent-Young,Elastic Rail Clip,B437,13-01-2025,30-01-2025,12-01-2030,OK,Performance nominal.
PP25LB12000488,"Wright, West and James",GFN Liner,B120,24-03-2025,29-03-2025,23-03-2030,OK,Performance nominal.
PP25CB28600489,"Wright, West and James",Elastic Rail Clip,B286,20-08-2025,09-09-2025,19-08-2030,OK,Performance nominal.
RC25CB40600490,Kent-Young,Elastic Rail Clip,B406,06-05-2025,20-05-2025,05-05-2030,OK,Performance nominal.
SI25PB56600491,Wright Ltd,Rail Pad,B566,20-07-2025,04-08-2025,19-07-2030,OK,Performance nominal.
SI25CB39900492,Wright Ltd,Elastic Rail Clip,B399,05-04-2025,12-04-2025,04-04-2030,OK,Performance nominal.
SI25LB99400493,Wright Ltd,GFN Liner,B994,27-08-2025,04-09-2025,26-08-2030,OK,Performance nominal.
PP25CB92300494,"Wright, West and James",Elastic Rail Clip,B923,21-07-2025,29-07-2025,20-07-2030,OK,Performance nominal.
SI25CB12700495,Wright Ltd,Elastic Rail Clip,B127,22-07-2025,10-08-2025,21-07-2030,OK,Performance nominal.
TS25PB49500496,"Cortez, Marsh and Nelson",Rail Pad,B495,28-06-2025,05-07-2025,27-06-2030,OK,Performance nominal.
TS25CB93600497,"Cortez, Marsh and Nelson",Elastic Rail Clip,B936,10-05-2025,21-05-2025,09-05-2030,OK,Performance nominal.
TS25LB64600498,"Cortez, Marsh and Nelson",GFN Liner,B646,28-06-2025,11-07-2025,27-06-2030,OK,Performance nominal.
SI25PB66000499,Wright Ltd,Rail Pad,B660,13-06-2025,18-06-2025,12-06-2030,OK,Performance nominal.
TS25CB59000500,"Cortez, Marsh and Nelson",Elastic Rail Clip,B590,09-03-2025,24-03-2025,08-03-2030,OK,Performance nominal.
RC25PB80300501,Kent-Young,Rail Pad,B803,21-02-2025,08-03-2025,20-02-2030,OK,Performance nominal.
RC25CB75000502,Kent-Young,Elastic Rail Clip,B750,16-08-2025,28-08-2025,15-08-2030,OK,Performance nominal.
SI25LB99400503,Wright Ltd,GFN Liner,B994,02-05-2025,19-05-2025,01-05-2030,OK,Performance nominal.
SI25PB19200504,Wright Ltd,Rail Pad,B192,01-07-2025,16-07-2025,30-06-2030,OK,Performance nominal.
SI25CB19800505,Wright Ltd,Elastic Rail Clip,B198,06-07-2025,18-07-2025,05-07-2030,OK,Performance nominal.
RC25LB62500506,Kent-Young,GFN Liner,B625,26-04-2025,01-05-2025,25-04-2030,OK,Performance nominal.
SI25PB43600507,Wright Ltd,Rail Pad,B436,22-06-2025,06-07-2025,21-06-2030,OK,Performance nominal.
TS25LB62500508,"Cortez, Marsh and Nelson",GFN Liner,B625,01-08-2025,14-08-2025,31-07-2030,OK,Performance nominal.
TS25PB44800509,"Cortez, Marsh and Nelson",Rail Pad,B448,07-03-2025,12-03-2025,06-03-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB50700510,Wright Ltd,Rail Pad,B507,12-02-2025,25-02-2025,11-02-2030,OK,Performance nominal.
TS25CB62500511,"Cortez, Marsh and Nelson",Elastic Rail Clip,B625,22-02-2025,13-03-2025,21-02-2030,OK,Performance nominal.
SI25PB50200512,Wright Ltd,Rail Pad,B502,19-07-2025,04-08-2025,18-07-2030,OK,Performance nominal.
TS25PB64400513,"Cortez, Marsh and Nelson",Rail Pad,B644,03-03-2025,13-03-2025,02-03-2030,OK,Performance nominal.
SI25CB40700514,Wright Ltd,Elastic Rail Clip,B407,24-08-2025,13-09-2025,23-08-2030,OK,Performance nominal.
RC25CB12800515,Kent-Young,Elastic Rail Clip,B128,06-05-2025,21-05-2025,05-05-2030,OK,Performance nominal.
RC25LB69800516,Kent-Young,GFN Liner,B698,06-05-2025,18-05-2025,05-05-2030,OK,Performance nominal.
RC25PB60600517,Kent-Young,Rail Pad,B606,08-07-2025,19-07-2025,07-07-2030,OK,Performance nominal.
TS25PB29200518,"Cortez, Marsh and Nelson",Rail Pad,B292,15-07-2025,24-07-2025,14-07-2030,OK,Performance nominal.
RC25PB17200519,Kent-Young,Rail Pad,B172,09-04-2025,19-04-2025,08-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB14700520,Wright Ltd,Elastic Rail Clip,B147,02-01-2025,18-01-2025,01-01-2030,OK,Performance nominal.
TS25PB97500521,"Cortez, Marsh and Nelson",Rail Pad,B975,25-04-2025,03-05-2025,24-04-2030,OK,Performance nominal.
PP25LB23400522,"Wright, West and James",GFN Liner,B234,10-02-2025,15-02-2025,09-02-2030,OK,Performance nominal.
PP25PB51800523,"Wright, West and James",Rail Pad,B518,01-02-2025,12-02-2025,31-01-2030,OK,Performance nominal.
PP25LB72700524,"Wright, West and James",GFN Liner,B727,20-07-2025,05-08-2025,19-07-2030,OK,Performance nominal.
TS25CB57900525,"Cortez, Marsh and Nelson",Elastic Rail Clip,B579,13-03-2025,23-03-2025,12-03-2030,OK,Performance nominal.
SI25PB78800526,Wright Ltd,Rail Pad,B788,09-05-2025,22-05-2025,08-05-2030,OK,Performance nominal.
TS25LB68500527,"Cortez, Marsh and Nelson",GFN Liner,B685,22-02-2025,04-03-2025,21-02-2030,OK,Performance nominal.
TS25LB73800528,"Cortez, Marsh and Nelson",GFN Liner,B738,24-04-2025,07-05-2025,23-04-2030,OK,Performance nominal.
SI25PB19000529,Wright Ltd,Rail Pad,B190,17-04-2025,07-05-2025,16-04-2030,OK,Performance nominal.
TS25PB86000530,"Cortez, Marsh and Nelson",Rail Pad,B860,15-05-2025,23-05-2025,14-05-2030,OK,Performance nominal.
RC25PB79100531,Kent-Young,Rail Pad,B791,27-01-2025,12-02-2025,26-01-2030,OK,Performance nominal.
SI25PB22900532,Wright Ltd,Rail Pad,B229,21-07-2025,02-08-2025,20-07-2030,OK,Performance nominal.
SI25PB50900533,Wright Ltd,Rail Pad,B509,13-01-2025,23-01-2025,12-01-2030,OK,Performance nominal.
TS25LB11200534,"Cortez, Marsh and Nelson",GFN Liner,B112,14-08-2025,30-08-2025,13-08-2030,OK,Performance nominal.
PP25PB21900535,"Wright, West and James",Rail Pad,B219,24-08-2025,11-09-2025,23-08-2030,OK,Performance nominal.
TS25PB77800536,"Cortez, Marsh and Nelson",Rail Pad,B778,21-06-2025,03-07-2025,20-06-2030,OK,Performance nominal.
RC25PB24900537,Kent-Young,Rail Pad,B249,04-04-2025,13-04-2025,03-04-2030,OK,Performance nominal.
TS25CB76900538,"Cortez, Marsh and Nelson",Elastic Rail Clip,B769,10-03-2025,25-03-2025,09-03-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB30500539,Kent-Young,GFN Liner,B305,11-03-2025,23-03-2025,10-03-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB12000540,"Cortez, Marsh and Nelson",GFN Liner,B120,10-02-2025,25-02-2025,09-02-2030,OK,Performance nominal.
PP25CB49900541,"Wright, West and James",Elastic Rail Clip,B499,21-01-2025,04-02-2025,20-01-2030,OK,Performance nominal.
RC25PB38600542,Kent-Young,Rail Pad,B386,23-02-2025,03-03-2025,22-02-2030,OK,Performance nominal.
SI25CB70100543,Wright Ltd,Elastic Rail Clip,B701,28-04-2025,05-05-2025,27-04-2030,OK,Performance nominal.
RC25CB33200544,Kent-Young,Elastic Rail Clip,B332,13-08-2025,22-08-2025,12-08-2030,OK,Performance nominal.
PP25CB27100545,"Wright, West and James",Elastic Rail Clip,B271,23-04-2025,03-05-2025,22-04-2030,OK,Performance nominal.
PP25PB94000546,"Wright, West and James",Rail Pad,B940,06-05-2025,19-05-2025,05-05-2030,OK,Performance nominal.
RC25CB61400547,Kent-Young,Elastic Rail Clip,B614,02-08-2025,21-08-2025,01-08-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB72500548,"Wright, West and James",GFN Liner,B725,01-03-2025,16-03-2025,28-02-2030,OK,Performance nominal.
PP25LB32400549,"Wright, West and James",GFN Liner,B324,28-03-2025,03-04-2025,27-03-2030,OK,Performance nominal.
SI25PB49500550,Wright Ltd,Rail Pad,B495,20-05-2025,25-05-2025,19-05-2030,OK,Performance nominal.
RC25CB62300551,Kent-Young,Elastic Rail Clip,B623,26-01-2025,03-02-2025,25-01-2030,OK,Performance nominal.
RC25LB57800552,Kent-Young,GFN Liner,B578,14-06-2025,19-06-2025,13-06-2030,OK,Performance nominal.
PP25PB12200553,"Wright, West and James",Rail Pad,B122,08-07-2025,17-07-2025,07-07-2030,OK,Performance nominal.
SI25PB53900554,Wright Ltd,Rail Pad,B539,16-04-2025,24-04-2025,15-04-2030,OK,Performance nominal.
PP25CB20700555,"Wright, West and James",Elastic Rail Clip,B207,16-07-2025,25-07-2025,15-07-2030,OK,Performance nominal.
RC25CB73200556,Kent-Young,Elastic Rail Clip,B732,08-01-2025,16-01-2025,07-01-2030,OK,Performance nominal.
TS25CB21800557,"Cortez, Marsh and Nelson",Elastic Rail Clip,B218,28-01-2025,15-02-2025,27-01-2030,OK,Performance nominal.
TS25LB55300558,"Cortez, Marsh and Nelson",GFN Liner,B553,15-06-2025,21-06-2025,14-06-2030,OK,Performance nominal.
PP25LB44300559,"Wright, West and James",GFN Liner,B443,11-03-2025,21-03-2025,10-03-2030,OK,Performance nominal.
RC25CB97900560,Kent-Young,Elastic Rail Clip,B979,18-05-2025,30-05-2025,17-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB11400561,"Wright, West and James",Rail Pad,B114,09-04-2025,23-04-2025,08-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB37900562,Wright Ltd,GFN Liner,B379,24-02-2025,04-03-2025,23-02-2030,OK,Performance nominal.
TS25LB22000563,"Cortez, Marsh and Nelson",GFN Liner,B220,11-07-2025,17-07-2025,10-07-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB88400564,Kent-Young,GFN Liner,B884,08-08-2025,16-08-2025,07-08-2030,OK,Performance nominal.
SI25PB30900565,Wright Ltd,Rail Pad,B309,28-05-2025,06-06-2025,27-05-2030,OK,Performance nominal.
TS25PB43000566,"Cortez, Marsh and Nelson",Rail Pad,B430,28-02-2025,11-03-2025,27-02-2030,OK,Performance nominal.
RC25LB64700567,Kent-Young,GFN Liner,B647,27-04-2025,09-05-2025,26-04-2030,OK,Performance nominal.
PP25LB68600568,"Wright, West and James",GFN Liner,B686,14-02-2025,20-02-2025,13-02-2030,OK,Performance nominal.
RC25PB13000569,Kent-Young,Rail Pad,B130,19-02-2025,28-02-2025,18-02-2030,OK,Performance nominal.
RC25CB75000570,Kent-Young,Elastic Rail Clip,B750,23-02-2025,12-03-2025,22-02-2030,OK,Performance nominal.
PP25PB67400571,"Wright, West and James",Rail Pad,B674,13-04-2025,23-04-2025,12-04-2030,OK,Performance nominal.
SI25LB74500572,Wright Ltd,GFN Liner,B745,01-05-2025,11-05-2025,30-04-2030,OK,Performance nominal.
PP25PB92700573,"Wright, West and James",Rail Pad,B927,18-06-2025,27-06-2025,17-06-2030,OK,Performance nominal.
RC25CB40800574,Kent-Young,Elastic Rail Clip,B408,17-08-2025,24-08-2025,16-08-2030,OK,Performance nominal.
PP25PB75200575,"Wright, West and James",Rail Pad,B752,21-08-2025,08-09-2025,20-08-2030,OK,Performance nominal.
PP25CB80500576,"Wright, West and James",Elastic Rail Clip,B805,12-05-2025,28-05-2025,11-05-2030,OK,Performance nominal.
PP25CB18400577,"Wright, West and James",Elastic Rail Clip,B184,01-05-2025,14-05-2025,30-04-2030,OK,Performance nominal.
SI25LB47300578,Wright Ltd,GFN Liner,B473,20-07-2025,03-08-2025,19-07-2030,FLAGGED,High failure rate predicted for this batch.
PP25CB82300579,"Wright, West and James",Elastic Rail Clip,B823,06-08-2025,18-08-2025,05-08-2030,OK,Performance nominal.
SI25CB10000580,Wright Ltd,Elastic Rail Clip,B100,25-08-2025,12-09-2025,24-08-2030,OK,Performance nominal.
RC25PB81400581,Kent-Young,Rail Pad,B814,05-07-2025,19-07-2025,04-07-2030,OK,Performance nominal.
RC25CB56300582,Kent-Young,Elastic Rail Clip,B563,10-01-2025,24-01-2025,09-01-2030,OK,Performance nominal.
SI25PB62600583,Wright Ltd,Rail Pad,B626,05-06-2025,14-06-2025,04-06-2030,OK,Performance nominal.
SI25LB64000584,Wright Ltd,GFN Liner,B640,09-08-2025,16-08-2025,08-08-2030,OK,Performance nominal.
PP25LB60200585,"Wright, West and James",GFN Liner,B602,10-01-2025,27-01-2025,09-01-2030,OK,Performance nominal.
TS25CB70100586,"Cortez, Marsh and Nelson",Elastic Rail Clip,B701,07-06-2025,24-06-2025,06-06-2030,OK,Performance nominal.
RC25LB40500587,Kent-Young,GFN Liner,B405,08-04-2025,23-04-2025,07-04-2030,OK,Performance nominal.
SI25PB91500588,Wright Ltd,Rail Pad,B915,06-02-2025,21-02-2025,05-02-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB27400589,Kent-Young,Rail Pad,B274,03-03-2025,19-03-2025,02-03-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB96900590,Wright Ltd,GFN Liner,B969,14-05-2025,27-05-2025,13-05-2030,OK,Performance nominal.
RC25LB27800591,Kent-Young,GFN Liner,B278,12-05-2025,21-05-2025,11-05-2030,OK,Performance nominal.
PP25CB69200592,"Wright, West and James",Elastic Rail Clip,B692,16-02-2025,04-03-2025,15-02-2030,OK,Performance nominal.
PP25PB46000593,"Wright, West and James",Rail Pad,B460,21-02-2025,01-03-2025,20-02-2030,OK,Performance nominal.
RC25PB52600594,Kent-Young,Rail Pad,B526,09-04-2025,26-04-2025,08-04-2030,OK,Performance nominal.
PP25PB70400595,"Wright, West and James",Rail Pad,B704,27-01-2025,09-02-2025,26-01-2030,OK,Performance nominal.
TS25PB61100596,"Cortez, Marsh and Nelson",Rail Pad,B611,26-01-2025,15-02-2025,25-01-2030,OK,Performance nominal.
SI25LB17900597,Wright Ltd,GFN Liner,B179,03-07-2025,21-07-2025,02-07-2030,OK,Performance nominal.
RC25LB45900598,Kent-Young,GFN Liner,B459,09-07-2025,17-07-2025,08-07-2030,OK,Performance nominal.
RC25PB25600599,Kent-Young,Rail Pad,B256,12-04-2025,21-04-2025,11-04-2030,OK,Performance nominal.
PP25LB26000600,"Wright, West and James",GFN Liner,B260,13-04-2025,26-04-2025,12-04-2030,OK,Performance nominal.
RC25CB15900601,Kent-Young,Elastic Rail Clip,B159,07-01-2025,15-01-2025,06-01-2030,OK,Performance nominal.
PP25CB88700602,"Wright, West and James",Elastic Rail Clip,B887,03-04-2025,14-04-2025,02-04-2030,OK,Performance nominal.
PP25CB76700603,"Wright, West and James",Elastic Rail Clip,B767,14-06-2025,28-06-2025,13-06-2030,OK,Performance nominal.
PP25LB34200604,"Wright, West and James",GFN Liner,B342,26-07-2025,31-07-2025,25-07-2030,OK,Performance nominal.
SI25CB92900605,Wright Ltd,Elastic Rail Clip,B929,12-02-2025,22-02-2025,11-02-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB50300606,Kent-Young,Rail Pad,B503,04-04-2025,19-04-2025,03-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB50700607,Wright Ltd,GFN Liner,B507,23-08-2025,04-09-2025,22-08-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB25900608,Kent-Young,Rail Pad,B259,07-02-2025,25-02-2025,06-02-2030,OK,Performance nominal.
TS25LB30800609,"Cortez, Marsh and Nelson",GFN Liner,B308,20-01-2025,03-02-2025,19-01-2030,OK,Performance nominal.
TS25PB21700610,"Cortez, Marsh and Nelson",Rail Pad,B217,13-06-2025,22-06-2025,12-06-2030,OK,Performance nominal.
PP25LB41400611,"Wright, West and James",GFN Liner,B414,13-07-2025,02-08-2025,12-07-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB40100612,Kent-Young,Elastic Rail Clip,B401,19-04-2025,05-05-2025,18-04-2030,OK,Performance nominal.
SI25LB49600613,Wright Ltd,GFN Liner,B496,10-08-2025,20-08-2025,09-08-2030,OK,Performance nominal.
RC25LB46800614,Kent-Young,GFN Liner,B468,12-03-2025,17-03-2025,11-03-2030,OK,Performance nominal.
RC25LB37000615,Kent-Young,GFN Liner,B370,17-01-2025,03-02-2025,16-01-2030,OK,Performance nominal.
RC25CB90100616,Kent-Young,Elastic Rail Clip,B901,04-03-2025,14-03-2025,03-03-2030,OK,Performance nominal.
PP25PB64500617,"Wright, West and James",Rail Pad,B645,09-06-2025,27-06-2025,08-06-2030,OK,Performance nominal.
PP25LB59300618,"Wright, West and James",GFN Liner,B593,24-05-2025,31-05-2025,23-05-2030,OK,Performance nominal.
SI25PB19700619,Wright Ltd,Rail Pad,B197,19-01-2025,26-01-2025,18-01-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB23000620,Wright Ltd,Elastic Rail Clip,B230,23-02-2025,28-02-2025,22-02-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB48400621,"Wright, West and James",Rail Pad,B484,20-07-2025,07-08-2025,19-07-2030,OK,Performance nominal.
TS25CB76500622,"Cortez, Marsh and Nelson",Elastic Rail Clip,B765,03-08-2025,08-08-2025,02-08-2030,OK,Performance nominal.
PP25PB29200623,"Wright, West and James",Rail Pad,B292,26-02-2025,08-03-2025,25-02-2030,OK,Performance nominal.
SI25PB18800624,Wright Ltd,Rail Pad,B188,22-04-2025,27-04-2025,21-04-2030,OK,Performance nominal.
TS25LB25300625,"Cortez, Marsh and Nelson",GFN Liner,B253,17-05-2025,25-05-2025,16-05-2030,FLAGGED,High failure rate predicted for this batch.
PP25CB66300626,"Wright, West and James",Elastic Rail Clip,B663,01-04-2025,20-04-2025,31-03-2030,OK,Performance nominal.
PP25PB58700627,"Wright, West and James",Rail Pad,B587,17-03-2025,05-04-2025,16-03-2030,OK,Performance nominal.
PP25LB53400628,"Wright, West and James",GFN Liner,B534,01-01-2025,07-01-2025,31-12-2029,OK,Performance nominal.
RC25PB77300629,Kent-Young,Rail Pad,B773,23-02-2025,28-02-2025,22-02-2030,OK,Performance nominal.
SI25LB73100630,Wright Ltd,GFN Liner,B731,02-03-2025,09-03-2025,01-03-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB71700631,Kent-Young,Elastic Rail Clip,B717,18-02-2025,27-02-2025,17-02-2030,OK,Performance nominal.
TS25LB86900632,"Cortez, Marsh and Nelson",GFN Liner,B869,14-08-2025,01-09-2025,13-08-2030,OK,Performance nominal.
PP25PB42700633,"Wright, West and James",Rail Pad,B427,15-05-2025,04-06-2025,14-05-2030,OK,Performance nominal.
TS25LB45100634,"Cortez, Marsh and Nelson",GFN Liner,B451,06-05-2025,23-05-2025,05-05-2030,OK,Performance nominal.
SI25CB67900635,Wright Ltd,Elastic Rail Clip,B679,26-01-2025,07-02-2025,25-01-2030,FLAGGED,High failure rate predicted for this batch.
SI25PB76600636,Wright Ltd,Rail Pad,B766,18-06-2025,28-06-2025,17-06-2030,OK,Performance nominal.
RC25LB11300637,Kent-Young,GFN Liner,B113,13-08-2025,18-08-2025,12-08-2030,OK,Performance nominal.
RC25PB35100638,Kent-Young,Rail Pad,B351,15-07-2025,03-08-2025,14-07-2030,OK,Performance nominal.
SI25LB49600639,Wright Ltd,GFN Liner,B496,23-02-2025,13-03-2025,22-02-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB16000640,Kent-Young,GFN Liner,B160,23-03-2025,12-04-2025,22-03-2030,OK,Performance nominal.
SI25PB32000641,Wright Ltd,Rail Pad,B320,25-04-2025,09-05-2025,24-04-2030,OK,Performance nominal.
TS25CB20700642,"Cortez, Marsh and Nelson",Elastic Rail Clip,B207,17-05-2025,03-06-2025,16-05-2030,OK,Performance nominal.
RC25LB40200643,Kent-Young,GFN Liner,B402,04-04-2025,17-04-2025,03-04-2030,OK,Performance nominal.
TS25PB99600644,"Cortez, Marsh and Nelson",Rail Pad,B996,25-08-2025,31-08-2025,24-08-2030,OK,Performance nominal.
SI25PB24000645,Wright Ltd,Rail Pad,B240,01-06-2025,11-06-2025,31-05-2030,OK,Performance nominal.
PP25PB57900646,"Wright, West and James",Rail Pad,B579,01-02-2025,16-02-2025,31-01-2030,OK,Performance nominal.
TS25LB21700647,"Cortez, Marsh and Nelson",GFN Liner,B217,16-03-2025,25-03-2025,15-03-2030,OK,Performance nominal.
TS25LB21600648,"Cortez, Marsh and Nelson",GFN Liner,B216,14-03-2025,20-03-2025,13-03-2030,OK,Performance nominal.
TS25LB64000649,"Cortez, Marsh and Nelson",GFN Liner,B640,25-08-2025,08-09-2025,24-08-2030,OK,Performance nominal.
RC25LB22300650,Kent-Young,GFN Liner,B223,20-06-2025,29-06-2025,19-06-2030,OK,Performance nominal.
